"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Femenino","45","50","45","100","0","0","0","NaN","9","39.1","12","63.2","13","48.1","8","61.5","3","37.5","0","NaN","8","38.1","20","58.8","15","53.6","2","28.6","7","50","3","33.3","4","57.1","7","50","9","37.5","15","68.2","21","45.7","11","50","2","50","11","61.1","0","NaN"
"3","Masculino","45","50","0","0","45","100","0","NaN","14","60.9","7","36.8","14","51.9","5","38.5","5","62.5","0","NaN","13","61.9","14","41.2","13","46.4","5","71.4","7","50","6","66.7","3","42.9","7","50","15","62.5","7","31.8","25","54.3","11","50","2","50","7","38.9","0","NaN"
"4","Total","90","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","nse","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"7","A/B","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","C+","23","25.6","9","20","14","31.1","0","NaN","23","100","0","0","0","0","0","0","0","0","0","NaN","3","14.3","7","20.6","9","32.1","4","57.1","3","21.4","5","55.6","4","57.1","3","21.4","1","4.2","7","31.8","12","26.1","5","22.7","1","25","5","27.8","0","NaN"
"9","C","19","21.1","12","26.7","7","15.6","0","NaN","0","0","19","100","0","0","0","0","0","0","0","NaN","5","23.8","7","20.6","5","17.9","2","28.6","2","14.3","4","44.4","1","14.3","5","35.7","4","16.7","3","13.6","11","23.9","2","9.1","1","25","5","27.8","0","NaN"
"10","C-","27","30","13","28.9","14","31.1","0","NaN","0","0","0","0","27","100","0","0","0","0","0","NaN","10","47.6","11","32.4","6","21.4","0","0","6","42.9","0","0","2","28.6","6","42.9","7","29.2","6","27.3","15","32.6","5","22.7","1","25","6","33.3","0","NaN"
