"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Femenino","551","49.4","551","100","0","0","0","NaN","109","52.2","111","50.5","126","47.9","120","48","85","49.1","0","NaN","133","55.2","203","49.3","142","50","73","41","110","46.4","93","52","77","48.4","107","58.5","84","47.5","80","44.4","198","46.2","154","50.7","50","53.8","149","51.6","0","NaN"
"3","Masculino","564","50.6","0","0","564","100","0","NaN","100","47.8","109","49.5","137","52.1","130","52","88","50.9","0","NaN","108","44.8","209","50.7","142","50","105","59","127","53.6","86","48","82","51.6","76","41.5","93","52.5","100","55.6","231","53.8","150","49.3","43","46.2","140","48.4","0","NaN"
"4","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","nse","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"7","A/B","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","C+","209","18.7","109","19.8","100","17.7","0","NaN","209","100","0","0","0","0","0","0","0","0","0","NaN","45","18.7","77","18.7","45","15.8","42","23.6","34","14.3","36","20.1","48","30.2","28","15.3","23","13","40","22.2","79","18.4","44","14.5","18","19.4","68","23.5","0","NaN"
"9","C","220","19.7","111","20.1","109","19.3","0","NaN","0","0","220","100","0","0","0","0","0","0","0","NaN","46","19.1","90","21.8","68","23.9","16","9","48","20.3","47","26.3","23","14.5","35","19.1","33","18.6","34","18.9","83","19.3","53","17.4","20","21.5","64","22.1","0","NaN"
"10","C-","263","23.6","126","22.9","137","24.3","0","NaN","0","0","0","0","263","100","0","0","0","0","0","NaN","59","24.5","94","22.8","71","25","39","21.9","52","21.9","44","24.6","42","26.4","60","32.8","37","20.9","28","15.6","108","25.2","67","22","21","22.6","67","23.2","0","NaN"
