"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Femenino","56","52.3","56","100","0","0","0","NaN","23","51.1","14","51.9","14","73.7","5","41.7","0","0","0","NaN","24","64.9","17","40.5","10","58.8","5","45.5","6","35.3","7","41.2","9","52.9","13","68.4","16","59.3","5","50","10","43.5","12","54.5","5","41.7","29","58","0","NaN"
"3","Masculino","51","47.7","0","0","51","100","0","NaN","22","48.9","13","48.1","5","26.3","7","58.3","4","100","0","NaN","13","35.1","25","59.5","7","41.2","6","54.5","11","64.7","10","58.8","8","47.1","6","31.6","11","40.7","5","50","13","56.5","10","45.5","7","58.3","21","42","0","NaN"
"4","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","nse","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"7","A/B","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","C+","45","42.1","23","41.1","22","43.1","0","NaN","45","100","0","0","0","0","0","0","0","0","0","NaN","17","45.9","17","40.5","5","29.4","6","54.5","6","35.3","6","35.3","10","58.8","8","42.1","12","44.4","3","30","8","34.8","9","40.9","4","33.3","24","48","0","NaN"
"9","C","27","25.2","14","25","13","25.5","0","NaN","0","0","27","100","0","0","0","0","0","0","0","NaN","7","18.9","14","33.3","4","23.5","2","18.2","5","29.4","8","47.1","0","0","4","21.1","5","18.5","5","50","6","26.1","5","22.7","5","41.7","11","22","0","NaN"
"10","C-","19","17.8","14","25","5","9.8","0","NaN","0","0","0","0","19","100","0","0","0","0","0","NaN","8","21.6","4","9.5","6","35.3","1","9.1","1","5.9","3","17.6","3","17.6","6","31.6","5","18.5","1","10","5","21.7","5","22.7","1","8.3","8","16","0","NaN"
"11","D+","12","11.2","5","8.9","7","13.7","0","NaN","0","0","0","0","0","0","12","100","0","0","0","NaN","5","13.5","5","11.9","1","5.9","1","9.1","5","29.4","0","0","4","23.5","1","5.3","2","7.4","0","0","3","13","1","4.5","2","16.7","6","12","0","NaN"
"12","D","4","3.7","0","0","4","7.8","0","NaN","0","0","0","0","0","0","0","0","4","100","0","NaN","0","0","2","4.8","1","5.9","1","9.1","0","0","0","0","0","0","0","0","3","11.1","1","10","1","4.3","2","9.1","0","0","1","2","0","NaN"
"13","E","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","edad","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"17","18 - 24","37","34.6","24","42.9","13","25.5","0","NaN","17","37.8","7","25.9","8","42.1","5","41.7","0","0","0","NaN","37","100","0","0","0","0","0","0","9","52.9","2","11.8","8","47.1","7","36.8","7","25.9","4","40","0","0","5","22.7","3","25","29","58","0","NaN"
"18","25 - 34","42","39.3","17","30.4","25","49","0","NaN","17","37.8","14","51.9","4","21.1","5","41.7","2","50","0","NaN","0","0","42","100","0","0","0","0","7","41.2","8","47.1","4","23.5","5","26.3","12","44.4","6","60","6","26.1","10","45.5","7","58.3","19","38","0","NaN"
"19","35 - 44","17","15.9","10","17.9","7","13.7","0","NaN","5","11.1","4","14.8","6","31.6","1","8.3","1","25","0","NaN","0","0","0","0","17","100","0","0","0","0","7","41.2","1","5.9","2","10.5","7","25.9","0","0","12","52.2","3","13.6","1","8.3","1","2","0","NaN"
"20","45 - 55","11","10.3","5","8.9","6","11.8","0","NaN","6","13.3","2","7.4","1","5.3","1","8.3","1","25","0","NaN","0","0","0","0","0","0","11","100","1","5.9","0","0","4","23.5","5","26.3","1","3.7","0","0","5","21.7","4","18.2","1","8.3","1","2","0","NaN"
