"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Femenino","24","54.5","24","100","0","0","0","NaN","6","42.9","7","63.6","5","62.5","6","54.5","0","NaN","0","NaN","6","46.2","13","76.5","4","40","1","25","6","50","0","0","6","75","2","40","6","50","4","66.7","8","57.1","5","50","2","50","9","56.2","0","NaN"
"3","Masculino","20","45.5","0","0","20","100","0","NaN","8","57.1","4","36.4","3","37.5","5","45.5","0","NaN","0","NaN","7","53.8","4","23.5","6","60","3","75","6","50","1","100","2","25","3","60","6","50","2","33.3","6","42.9","5","50","2","50","7","43.8","0","NaN"
"4","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","nse","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"7","A/B","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","C+","14","31.8","6","25","8","40","0","NaN","14","100","0","0","0","0","0","0","0","NaN","0","NaN","4","30.8","6","35.3","2","20","2","50","4","33.3","0","0","2","25","2","40","5","41.7","1","16.7","4","28.6","2","20","2","50","6","37.5","0","NaN"
"9","C","11","25","7","29.2","4","20","0","NaN","0","0","11","100","0","0","0","0","0","NaN","0","NaN","1","7.7","5","29.4","4","40","1","25","2","16.7","0","0","3","37.5","2","40","2","16.7","2","33.3","3","21.4","3","30","2","50","3","18.8","0","NaN"
"10","C-","8","18.2","5","20.8","3","15","0","NaN","0","0","0","0","8","100","0","0","0","NaN","0","NaN","3","23.1","2","11.8","2","20","1","25","1","8.3","1","100","2","25","1","20","2","16.7","1","16.7","2","14.3","3","30","0","0","3","18.8","0","NaN"
"11","D+","11","25","6","25","5","25","0","NaN","0","0","0","0","0","0","11","100","0","NaN","0","NaN","5","38.5","4","23.5","2","20","0","0","5","41.7","0","0","1","12.5","0","0","3","25","2","33.3","5","35.7","2","20","0","0","4","25","0","NaN"
"12","D","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"13","E","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","edad","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"17","18 - 24","13","29.5","6","25","7","35","0","NaN","4","28.6","1","9.1","3","37.5","5","45.5","0","NaN","0","NaN","13","100","0","0","0","0","0","0","9","75","1","100","0","0","1","20","2","16.7","0","0","0","0","1","10","0","0","12","75","0","NaN"
"18","25 - 34","17","38.6","13","54.2","4","20","0","NaN","6","42.9","5","45.5","2","25","4","36.4","0","NaN","0","NaN","0","0","17","100","0","0","0","0","2","16.7","0","0","5","62.5","1","20","6","50","3","50","6","42.9","4","40","3","75","4","25","0","NaN"
"19","35 - 44","10","22.7","4","16.7","6","30","0","NaN","2","14.3","4","36.4","2","25","2","18.2","0","NaN","0","NaN","0","0","0","0","10","100","0","0","1","8.3","0","0","2","25","2","40","3","25","2","33.3","6","42.9","4","40","0","0","0","0","0","NaN"
"20","45 - 55","4","9.1","1","4.2","3","15","0","NaN","2","14.3","1","9.1","1","12.5","0","0","0","NaN","0","NaN","0","0","0","0","0","0","4","100","0","0","0","0","1","12.5","1","20","1","8.3","1","16.7","2","14.3","1","10","1","25","0","0","0","NaN"
"21","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","plaza","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"24","Ciudad de México","12","27.3","6","25","6","30","0","NaN","4","28.6","2","18.2","1","12.5","5","45.5","0","NaN","0","NaN","9","69.2","2","11.8","1","10","0","0","12","100","0","0","0","0","0","0","0","0","0","0","2","14.3","0","0","0","0","10","62.5","0","NaN"
"25","Tijuana","1","2.3","0","0","1","5","0","NaN","0","0","0","0","1","12.5","0","0","0","NaN","0","NaN","1","7.7","0","0","0","0","0","0","0","0","1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6.2","0","NaN"
"26","Monterrey","8","18.2","6","25","2","10","0","NaN","2","14.3","3","27.3","2","25","1","9.1","0","NaN","0","NaN","0","0","5","29.4","2","20","1","25","0","0","0","0","8","100","0","0","0","0","0","0","4","28.6","3","30","0","0","1","6.2","0","NaN"
"27","Guadalajara","5","11.4","2","8.3","3","15","0","NaN","2","14.3","2","18.2","1","12.5","0","0","0","NaN","0","NaN","1","7.7","1","5.9","2","20","1","25","0","0","0","0","0","0","5","100","0","0","0","0","2","14.3","1","10","1","25","1","6.2","0","NaN"
"28","Puebla","12","27.3","6","25","6","30","0","NaN","5","35.7","2","18.2","2","25","3","27.3","0","NaN","0","NaN","2","15.4","6","35.3","3","30","1","25","0","0","0","0","0","0","0","0","12","100","0","0","3","21.4","5","50","2","50","2","12.5","0","NaN"
"29","Mérida","6","13.6","4","16.7","2","10","0","NaN","1","7.1","2","18.2","1","12.5","2","18.2","0","NaN","0","NaN","0","0","3","17.6","2","20","1","25","0","0","0","0","0","0","0","0","0","0","6","100","3","21.4","1","10","1","25","1","6.2","0","NaN"
"30","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
