"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65"
"1","genero","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"2","Femenino","582","49.5","563","49.3","19","54.3","27","57.4","555","49.2","56","52.3","526","49.2","1","50","581","49.5","45","50","537","49.4","77","48.1","505","49.7","582","100","0","0","0","NaN","112","51.1","119","49.6","135","48.9","130","49.1","86","48.9","0","NaN","139","54.7","213","49.3","154","50.2","76","41.5","116","45.8","99","51.6","87","50.9","111","58.4","89","47.8","80","43.5"
"3","Masculino","594","50.5","578","50.7","16","45.7","20","42.6","574","50.8","51","47.7","543","50.8","1","50","593","50.5","45","50","549","50.6","83","51.9","511","50.3","0","0","594","100","0","NaN","107","48.9","121","50.4","141","51.1","135","50.9","90","51.1","0","NaN","115","45.3","219","50.7","153","49.8","107","58.5","137","54.2","93","48.4","84","49.1","79","41.6","97","52.2","104","56.5"
"4","Total","1176","100","1141","100","35","100","47","100","1129","100","107","100","1069","100","2","100","1174","100","90","100","1086","100","160","100","1016","100","582","100","594","100","0","NaN","219","100","240","100","276","100","265","100","176","100","0","NaN","254","100","432","100","307","100","183","100","253","100","192","100","171","100","190","100","186","100","184","100"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","nse","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"7","A/B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","C+","219","18.6","214","18.8","5","14.3","14","29.8","205","18.2","45","42.1","174","16.3","1","50","218","18.6","23","25.6","196","18","59","36.9","160","15.7","112","19.2","107","18","0","NaN","219","100","0","0","0","0","0","0","0","0","0","NaN","48","18.9","79","18.3","48","15.6","44","24","36","14.2","39","20.3","51","29.8","29","15.3","24","12.9","40","21.7"
"9","C","240","20.4","230","20.2","10","28.6","12","25.5","228","20.2","27","25.2","213","19.9","0","0","240","20.4","19","21.1","221","20.3","36","22.5","204","20.1","119","20.4","121","20.4","0","NaN","0","0","240","100","0","0","0","0","0","0","0","NaN","49","19.3","97","22.5","76","24.8","18","9.8","55","21.7","51","26.6","25","14.6","39","20.5","33","17.7","37","20.1"
"10","C-","276","23.5","269","23.6","7","20","9","19.1","267","23.6","19","17.8","257","24","0","0","276","23.5","27","30","249","22.9","33","20.6","243","23.9","135","23.2","141","23.7","0","NaN","0","0","0","0","276","100","0","0","0","0","0","NaN","62","24.4","99","22.9","76","24.8","39","21.3","55","21.7","47","24.5","45","26.3","60","31.6","41","22","28","15.2"
