"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","41","26.3","38","50.7","3","3.7","0","NaN","16","27.6","8","23.5","7","21.2","5","21.7","5","62.5","0","NaN","1","2.9","14","29.8","20","37.7","6","28.6","8","18.6","5","27.8","2","11.1","8","25.8","8","40","10","38.5","31","37.3","5","20","4","44.4","1","2.6","0","NaN"
"3","Papá","51","32.7","1","1.3","50","61.7","0","NaN","18","31","12","35.3","13","39.4","8","34.8","0","0","0","NaN","2","5.7","14","29.8","25","47.2","10","47.6","12","27.9","5","27.8","8","44.4","9","29","7","35","10","38.5","47","56.6","3","12","1","11.1","0","0","0","NaN"
"4","Hijo","19","12.2","0","0","19","23.5","0","NaN","4","6.9","4","11.8","6","18.2","4","17.4","1","12.5","0","NaN","13","37.1","5","10.6","1","1.9","0","0","10","23.3","2","11.1","2","11.1","3","9.7","1","5","1","3.8","1","1.2","1","4","1","11.1","16","41","0","NaN"
"5","Hija","22","14.1","22","29.3","0","0","0","NaN","7","12.1","6","17.6","4","12.1","4","17.4","1","12.5","0","NaN","16","45.7","6","12.8","0","0","0","0","8","18.6","3","16.7","4","22.2","3","9.7","2","10","2","7.7","0","0","0","0","1","11.1","21","53.8","0","NaN"
"6","Abuelo","2","1.3","0","0","2","2.5","0","NaN","1","1.7","1","2.9","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","2","9.5","0","0","0","0","0","0","1","3.2","1","5","0","0","2","2.4","0","0","0","0","0","0","0","NaN"
"7","Abuela","4","2.6","4","5.3","0","0","0","NaN","1","1.7","0","0","1","3","1","4.3","1","12.5","0","NaN","0","0","0","0","1","1.9","3","14.3","0","0","0","0","0","0","2","6.5","0","0","2","7.7","2","2.4","0","0","2","22.2","0","0","0","NaN"
"8","Otro","16","10.3","9","12","7","8.6","0","NaN","11","19","3","8.8","1","3","1","4.3","0","0","0","NaN","3","8.6","7","14.9","6","11.3","0","0","5","11.6","3","16.7","1","5.6","5","16.1","1","5","1","3.8","0","0","15","60","0","0","1","2.6","0","NaN"
"9","No sabe/ no contestó","1","0.6","1","1.3","0","0","0","NaN","0","0","0","0","1","3","0","0","0","0","0","NaN","0","0","1","2.1","0","0","0","0","0","0","0","0","1","5.6","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","NaN"
"10","Total","156","100","75","100","81","100","0","NaN","58","100","34","100","33","100","23","100","8","100","0","NaN","35","100","47","100","53","100","21","100","43","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","39","100","0","NaN"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
