"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","28","31.1","28","62.2","0","0","0","NaN","6","26.1","8","42.1","10","37","3","23.1","1","12.5","0","NaN","2","9.5","12","35.3","12","42.9","2","28.6","2","14.3","1","11.1","2","28.6","5","35.7","5","20.8","13","59.1","20","43.5","5","22.7","2","50","1","5.6","0","NaN"
"3","Papá","31","34.4","1","2.2","30","66.7","0","NaN","7","30.4","5","26.3","9","33.3","6","46.2","4","50","0","NaN","6","28.6","11","32.4","11","39.3","3","42.9","4","28.6","3","33.3","1","14.3","3","21.4","14","58.3","6","27.3","25","54.3","5","22.7","1","25","0","0","0","NaN"
"4","Hijo","10","11.1","0","0","10","22.2","0","NaN","4","17.4","2","10.5","3","11.1","0","0","1","12.5","0","NaN","6","28.6","2","5.9","1","3.6","1","14.3","2","14.3","3","33.3","1","14.3","1","7.1","2","8.3","1","4.5","0","0","2","9.1","1","25","7","38.9","0","NaN"
"5","Hija","12","13.3","12","26.7","0","0","0","NaN","2","8.7","3","15.8","3","11.1","2","15.4","2","25","0","NaN","6","28.6","5","14.7","1","3.6","0","0","3","21.4","1","11.1","2","28.6","2","14.3","2","8.3","2","9.1","0","0","2","9.1","0","0","10","55.6","0","NaN"
"6","Abuelo","1","1.1","0","0","1","2.2","0","NaN","1","4.3","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","14.3","0","0","0","0","1","14.3","0","0","0","0","0","0","1","2.2","0","0","0","0","0","0","0","NaN"
"7","Abuela","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","Otro","8","8.9","4","8.9","4","8.9","0","NaN","3","13","1","5.3","2","7.4","2","15.4","0","0","0","NaN","1","4.8","4","11.8","3","10.7","0","0","3","21.4","1","11.1","0","0","3","21.4","1","4.2","0","0","0","0","8","36.4","0","0","0","0","0","NaN"
"9","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"10","Total","90","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
