"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","268","24","259","47","9","1.6","0","NaN","48","23","42","19.1","72","27.4","69","27.6","37","21.4","0","NaN","18","7.5","107","26","97","34.2","46","25.8","49","20.7","40","22.3","36","22.6","46","25.1","37","20.9","60","33.3","176","41","57","18.8","30","32.3","5","1.7","0","NaN"
"3","Papá","300","26.9","12","2.2","288","51.1","0","NaN","49","23.4","59","26.8","72","27.4","75","30","45","26","0","NaN","23","9.5","106","25.7","106","37.3","65","36.5","52","21.9","40","22.3","43","27","35","19.1","57","32.2","73","40.6","213","49.7","68","22.4","17","18.3","2","0.7","0","NaN"
"4","Hijo","129","11.6","9","1.6","120","21.3","0","NaN","26","12.4","29","13.2","34","12.9","26","10.4","14","8.1","0","NaN","70","29","49","11.9","8","2.8","2","1.1","42","17.7","16","8.9","20","12.6","12","6.6","24","13.6","15","8.3","3","0.7","15","4.9","10","10.8","101","34.9","0","NaN"
"5","Hija","141","12.6","138","25","3","0.5","0","NaN","30","14.4","38","17.3","29","11","27","10.8","17","9.8","0","NaN","81","33.6","50","12.1","10","3.5","0","0","37","15.6","23","12.8","19","11.9","22","12","24","13.6","16","8.9","2","0.5","17","5.6","8","8.6","114","39.4","0","NaN"
"6","Abuelo","29","2.6","1","0.2","28","5","0","NaN","6","2.9","3","1.4","5","1.9","8","3.2","7","4","0","NaN","0","0","0","0","3","1.1","26","14.6","2","0.8","4","2.2","8","5","6","3.3","3","1.7","6","3.3","18","4.2","2","0.7","9","9.7","0","0","0","NaN"
"7","Abuela","19","1.7","19","3.4","0","0","0","NaN","2","1","1","0.5","8","3","2","0.8","6","3.5","0","NaN","0","0","0","0","4","1.4","15","8.4","0","0","2","1.1","5","3.1","7","3.8","2","1.1","3","1.7","12","2.8","0","0","7","7.5","0","0","0","NaN"
"8","Otro","221","19.8","108","19.6","113","20","0","NaN","48","23","47","21.4","41","15.6","41","16.4","44","25.4","0","NaN","47","19.5","97","23.5","54","19","23","12.9","53","22.4","49","27.4","27","17","55","30.1","30","16.9","7","3.9","5","1.2","140","46.1","11","11.8","65","22.5","0","NaN"
"9","No sabe/ no contestó","8","0.7","5","0.9","3","0.5","0","NaN","0","0","1","0.5","2","0.8","2","0.8","3","1.7","0","NaN","2","0.8","3","0.7","2","0.7","1","0.6","2","0.8","5","2.8","1","0.6","0","0","0","0","0","0","0","0","5","1.6","1","1.1","2","0.7","0","NaN"
"10","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
