"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","11","10.3","11","19.6","0","0","0","NaN","4","8.9","3","11.1","2","10.5","2","16.7","0","0","0","NaN","0","0","2","4.8","6","35.3","3","27.3","0","0","4","23.5","3","17.6","1","5.3","3","11.1","0","0","7","30.4","2","9.1","2","16.7","0","0","0","NaN"
"3","Papá","20","18.7","3","5.4","17","33.3","0","NaN","8","17.8","6","22.2","3","15.8","2","16.7","1","25","0","NaN","0","0","10","23.8","9","52.9","1","9.1","1","5.9","6","35.3","2","11.8","2","10.5","6","22.2","3","30","13","56.5","4","18.2","3","25","0","0","0","NaN"
"4","Hijo","20","18.7","0","0","20","39.2","0","NaN","8","17.8","3","11.1","2","10.5","5","41.7","2","50","0","NaN","12","32.4","8","19","0","0","0","0","7","41.2","2","11.8","3","17.6","1","5.3","5","18.5","2","20","0","0","2","9.1","2","16.7","16","32","0","NaN"
"5","Hija","28","26.2","28","50","0","0","0","NaN","11","24.4","8","29.6","7","36.8","2","16.7","0","0","0","NaN","19","51.4","9","21.4","0","0","0","0","6","35.3","1","5.9","5","29.4","4","21.1","7","25.9","5","50","0","0","2","9.1","2","16.7","24","48","0","NaN"
"6","Abuelo","2","1.9","0","0","2","3.9","0","NaN","2","4.4","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","2","18.2","0","0","0","0","2","11.8","0","0","0","0","0","0","2","8.7","0","0","0","0","0","0","0","NaN"
"7","Abuela","1","0.9","1","1.8","0","0","0","NaN","0","0","0","0","1","5.3","0","0","0","0","0","NaN","0","0","0","0","0","0","1","9.1","0","0","0","0","0","0","1","5.3","0","0","0","0","1","4.3","0","0","0","0","0","0","0","NaN"
"8","Otro","25","23.4","13","23.2","12","23.5","0","NaN","12","26.7","7","25.9","4","21.1","1","8.3","1","25","0","NaN","6","16.2","13","31","2","11.8","4","36.4","3","17.6","4","23.5","2","11.8","10","52.6","6","22.2","0","0","0","0","12","54.5","3","25","10","20","0","NaN"
"9","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"10","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","P9_1","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"13","No estudió / Primaria","2","1.9","0","0","2","3.9","0","NaN","0","0","0","0","1","5.3","0","0","1","25","0","NaN","1","2.7","1","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","0","0","0","0","0","0","2","4","0","NaN"
"14","Secundaria o Carrera Comercial","11","10.3","4","7.1","7","13.7","0","NaN","3","6.7","1","3.7","2","10.5","4","33.3","1","25","0","NaN","2","5.4","7","16.7","1","5.9","1","9.1","3","17.6","1","5.9","3","17.6","1","5.3","3","11.1","0","0","5","21.7","2","9.1","0","0","4","8","0","NaN"
"15","Preparatoria o Carrera Técnica","50","46.7","30","53.6","20","39.2","0","NaN","16","35.6","18","66.7","9","47.4","5","41.7","2","50","0","NaN","21","56.8","13","31","9","52.9","7","63.6","10","58.8","11","64.7","9","52.9","8","42.1","9","33.3","3","30","13","56.5","9","40.9","6","50","22","44","0","NaN"
"16","Universidad / Posgrado","44","41.1","22","39.3","22","43.1","0","NaN","26","57.8","8","29.6","7","36.8","3","25","0","0","0","NaN","13","35.1","21","50","7","41.2","3","27.3","4","23.5","5","29.4","5","29.4","10","52.6","15","55.6","5","50","5","21.7","11","50","6","50","22","44","0","NaN"
"17","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"18","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
