"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","P9","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","13","29.5","12","50","1","5","0","NaN","3","21.4","4","36.4","3","37.5","3","27.3","0","NaN","0","NaN","0","0","8","47.1","4","40","1","25","1","8.3","0","0","5","62.5","2","40","2","16.7","3","50","7","50","4","40","2","50","0","0","0","NaN"
"3","Papá","9","20.5","0","0","9","45","0","NaN","3","21.4","2","18.2","2","25","2","18.2","0","NaN","0","NaN","0","0","2","11.8","5","50","2","50","0","0","0","0","2","25","2","40","4","33.3","1","16.7","6","42.9","3","30","0","0","0","0","0","NaN"
"4","Hijo","9","20.5","2","8.3","7","35","0","NaN","4","28.6","0","0","1","12.5","4","36.4","0","NaN","0","NaN","8","61.5","1","5.9","0","0","0","0","6","50","1","100","1","12.5","0","0","1","8.3","0","0","0","0","1","10","0","0","8","50","0","NaN"
"5","Hija","9","20.5","9","37.5","0","0","0","NaN","2","14.3","3","27.3","2","25","2","18.2","0","NaN","0","NaN","5","38.5","4","23.5","0","0","0","0","5","41.7","0","0","0","0","1","20","2","16.7","1","16.7","1","7.1","0","0","0","0","8","50","0","NaN"
"6","Abuelo","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"7","Abuela","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","Otro","4","9.1","1","4.2","3","15","0","NaN","2","14.3","2","18.2","0","0","0","0","0","NaN","0","NaN","0","0","2","11.8","1","10","1","25","0","0","0","0","0","0","0","0","3","25","1","16.7","0","0","2","20","2","50","0","0","0","NaN"
"9","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"10","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","P9_1","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"13","No estudió / Primaria","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","Secundaria o Carrera Comercial","7","15.9","5","20.8","2","10","0","NaN","0","0","0","0","2","25","5","45.5","0","NaN","0","NaN","1","7.7","4","23.5","1","10","1","25","1","8.3","0","0","0","0","0","0","3","25","3","50","4","28.6","3","30","0","0","0","0","0","NaN"
"15","Preparatoria o Carrera Técnica","22","50","12","50","10","50","0","NaN","5","35.7","8","72.7","6","75","3","27.3","0","NaN","0","NaN","8","61.5","6","35.3","6","60","2","50","5","41.7","1","100","6","75","3","60","4","33.3","3","50","7","50","4","40","2","50","9","56.2","0","NaN"
"16","Universidad / Posgrado","15","34.1","7","29.2","8","40","0","NaN","9","64.3","3","27.3","0","0","3","27.3","0","NaN","0","NaN","4","30.8","7","41.2","3","30","1","25","6","50","0","0","2","25","2","40","5","41.7","0","0","3","21.4","3","30","2","50","7","43.8","0","NaN"
"17","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"18","Total","44","100","24","100","20","100","0","NaN","14","100","11","100","8","100","11","100","0","NaN","0","NaN","13","100","17","100","10","100","4","100","12","100","1","100","8","100","5","100","12","100","6","100","14","100","10","100","4","100","16","100","0","NaN"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
