"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"1","P9","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Mamá","281","24.5","268","24","13","38.2","13","29.5","268","24.3","11","10.3","270","25.9","0","0","281","24.5","28","31.1","253","23.9","41","26.3","240","24.2","271","47.6","10","1.7","0","NaN","50","23.4","47","20.4","74","27.4","73","28","37","21.3","0","NaN","18","7.2","113","26.6","101","34.7","49","26.9","49","20.3","42","22.6","44","25.7","48","25.7","38","20.8","60","33.1","183","41.6","61","19.6","32","32.3","5","1.7","0","NaN"
"3","Papá","305","26.5","300","26.9","5","14.7","9","20.5","296","26.8","20","18.7","285","27.4","0","0","305","26.6","31","34.4","274","25.9","51","32.7","254","25.6","13","2.3","292","50.3","0","NaN","49","22.9","61","26.5","73","27","77","29.5","45","25.9","0","NaN","23","9.2","108","25.4","109","37.5","65","35.7","52","21.6","41","22","44","25.7","35","18.7","59","32.2","74","40.9","217","49.3","69","22.1","17","17.2","2","0.7","0","NaN"
"4","Hijo","138","12","129","11.6","9","26.5","9","20.5","129","11.7","20","18.7","118","11.3","1","50","137","11.9","10","11.1","128","12.1","19","12.2","119","12","9","1.6","129","22.2","0","NaN","29","13.6","30","13","36","13.3","28","10.7","15","8.6","0","NaN","77","30.7","51","12","8","2.7","2","1.1","45","18.7","18","9.7","21","12.3","13","7","26","14.2","15","8.3","3","0.7","16","5.1","11","11.1","108","36.2","0","NaN"
"5","Hija","144","12.5","141","12.6","3","8.8","9","20.5","135","12.2","28","26.2","116","11.1","1","50","143","12.5","12","13.3","132","12.5","22","14.1","122","12.3","141","24.8","3","0.5","0","NaN","30","14","38","16.5","30","11.1","29","11.1","17","9.8","0","NaN","82","32.7","52","12.2","10","3.4","0","0","37","15.4","23","12.4","21","12.3","22","11.8","25","13.7","16","8.8","2","0.5","17","5.4","9","9.1","116","38.9","0","NaN"
"6","Abuelo","29","2.5","29","2.6","0","0","0","0","29","2.6","2","1.9","27","2.6","0","0","29","2.5","1","1.1","28","2.6","2","1.3","27","2.7","1","0.2","28","4.8","0","NaN","6","2.8","3","1.3","5","1.9","8","3.1","7","4","0","NaN","0","0","0","0","3","1","26","14.3","2","0.8","4","2.2","8","4.7","6","3.2","3","1.6","6","3.3","18","4.1","2","0.6","9","9.1","0","0","0","NaN"
"7","Abuela","19","1.7","19","1.7","0","0","0","0","19","1.7","1","0.9","18","1.7","0","0","19","1.7","0","0","19","1.8","4","2.6","15","1.5","19","3.3","0","0","0","NaN","2","0.9","1","0.4","8","3","2","0.8","6","3.4","0","NaN","0","0","0","0","4","1.4","15","8.2","0","0","2","1.1","5","2.9","7","3.7","2","1.1","3","1.7","12","2.7","0","0","7","7.1","0","0","0","NaN"
"8","Otro","225","19.6","221","19.8","4","11.8","4","9.1","221","20","25","23.4","200","19.2","0","0","225","19.6","8","8.9","217","20.5","16","10.3","209","21","110","19.3","115","19.8","0","NaN","48","22.4","49","21.3","42","15.6","42","16.1","44","25.3","0","NaN","49","19.5","98","23.1","54","18.6","24","13.2","54","22.4","51","27.4","27","15.8","56","29.9","30","16.4","7","3.9","5","1.1","142","45.5","13","13.1","65","21.8","0","NaN"
"9","No sabe/ no contestó","8","0.7","8","0.7","0","0","0","0","8","0.7","0","0","8","0.8","0","0","8","0.7","0","0","8","0.8","1","0.6","7","0.7","5","0.9","3","0.5","0","NaN","0","0","1","0.4","2","0.7","2","0.8","3","1.7","0","NaN","2","0.8","3","0.7","2","0.7","1","0.5","2","0.8","5","2.7","1","0.6","0","0","0","0","0","0","0","0","5","1.6","1","1","2","0.7","0","NaN"
"10","Total","1149","100","1115","100","34","100","44","100","1105","100","107","100","1042","100","2","100","1147","100","90","100","1059","100","156","100","993","100","569","100","580","100","0","NaN","214","100","230","100","270","100","261","100","174","100","0","NaN","251","100","425","100","291","100","182","100","241","100","186","100","171","100","187","100","183","100","181","100","440","100","312","100","99","100","298","100","0","NaN"
