"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"1","P10_quienUsaCEL","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"2","Rr_P10_1_CELULAR_Yo","1103","98.7","1101","98.7","0","0","31","100","1072","98.7","87","98.9","1016","98.7","0","0","1101","98.7","89","98.9","1014","98.7","153","98.7","950","98.8","545","98.7","558","98.8","0","NaN","209","99.5","217","98.6","260","98.9","249","99.2","168","97.1","0","NaN","240","99.6","411","99.3","279","98.2","173","97.2","236","99.6","179","100","157","98.7","176","96.2","179","100","176","97.8","421","98.1","300","98.7","0","0","288","99.3","0","NaN"
"3","Rr_P10_1_CELULAR_EsposoEsposa","566","50.7","566","50.8","0","0","10","32.3","556","51.2","28","31.8","538","52.3","0","0","566","50.8","54","60","512","49.9","87","56.1","479","49.8","277","50.2","289","51.2","0","NaN","98","46.7","115","52.3","136","51.7","132","52.6","85","49.1","0","NaN","73","30.3","221","53.4","181","63.7","91","51.1","118","49.8","107","59.8","38","23.9","102","55.7","86","48","115","63.9","328","76.5","229","75.3","1","1.1","8","2.8","0","NaN"
"4","Rr_P10_1_CELULAR_PapaMama","173","15.5","173","15.5","0","0","14","45.2","159","14.6","25","28.4","148","14.4","0","0","173","15.5","19","21.1","154","15","39","25.2","134","13.9","93","16.8","80","14.2","0","NaN","42","20","41","18.6","39","14.8","36","14.3","15","8.7","0","NaN","98","40.7","60","14.5","12","4.2","3","1.7","68","28.7","30","16.8","17","10.7","20","10.9","19","10.6","19","10.6","11","2.6","14","4.6","12","12.8","136","46.9","0","NaN"
"5","Rr_P10_1_CELULAR_HijosHijas","173","15.5","173","15.5","0","0","3","9.7","170","15.7","13","14.8","160","15.5","0","0","173","15.5","18","20","155","15.1","50","32.3","123","12.8","73","13.2","100","17.7","0","NaN","37","17.6","40","18.2","49","18.6","28","11.2","19","11","0","NaN","2","0.8","24","5.8","83","29.2","64","36","35","14.8","33","18.4","10","6.3","42","23","25","14","28","15.6","143","33.3","2","0.7","24","25.5","4","1.4","0","NaN"
"6","Rr_P10_1_CELULAR_Otro","111","9.9","111","10","0","0","8","25.8","103","9.5","9","10.2","102","9.9","0","0","111","10","9","10","102","9.9","28","18.1","83","8.6","59","10.7","52","9.2","0","NaN","26","12.4","15","6.8","35","13.3","24","9.6","11","6.4","0","NaN","52","21.6","36","8.7","14","4.9","9","5.1","31","13.1","20","11.2","9","5.7","19","10.4","10","5.6","22","12.2","17","4","18","5.9","8","8.5","68","23.4","0","NaN"
"7","Total","1117","100","1115","100","2","100","31","100","1086","100","88","100","1029","100","2","100","1115","100","90","100","1027","100","155","100","962","100","552","100","565","100","0","NaN","210","100","220","100","263","100","251","100","173","100","0","NaN","241","100","414","100","284","100","178","100","237","100","179","100","159","100","183","100","179","100","180","100","429","100","304","100","94","100","290","100","0","NaN"
"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","P10_quienUsaTABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"10","Rr_P10_1_TABLET_Yo","71","53","59","48.8","0","0","40","90.9","31","34.4","0","0","58","50.4","0","NaN","71","53","31","34.4","40","90.9","15","50","56","53.8","35","50.7","36","55.4","0","NaN","23","62.2","15","50","17","48.6","0","0","0","0","0","NaN","21","61.8","29","56.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","39.3","0","0","0","0","0","0","0","0","0","NaN"
